DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
27,40,26,fH24p6dzWeXuazYebtLrbvHZ7jP8YL6t,Add,Veges,"pick up veggies, dump veggies in water",677216,685521,1,1,8.3,X ( G (C_StovePan U StovePan) & G (C_StovePan U StovePan_FarFrom_Stove) & G (C_StovePan U StovePan_OnTopOf_StovePot) & ( C_Pan U ( !Veges_InsideOf_Pan & Veges_InsideOf_Pot ) ) & G F (StovePan_LeftOf_StovePot) ),Pour veges in the pan into the pot ( go to stovePot | stovePan > Pick up pan > pour veges into pot > place back Pan on StovePan
28,40,27,fdNvEHKInw1U6ilylptfmUgxMnnllVdI,Add,Spices,dump spices in water,720840,723254,1,1,2.4,X (( G (C_Spices U Spices) & G (C_Spices U Spices_FarFrom_CT) ) & F (C_StovePot U StovePot) & F G ((C_Spices & C_Pot) U Spices_insideof_Pot) & G F (C_Spice U Spice_OnTopOf_CT)),Go to Stove Pot > pick up spice > Pour into pot > return spice on CT
29,40,28,f8c37ef07cff4d37a9ed19c3c010bde1,Turn,Veges,turn around,741720,743160,1,0,1.4,F (C_StovePot U StovePot),go to stove pot
30,40,29,d77492cd09e84d3793cf807e6bac5efc,Turn,Veges,turn around,745120,746720,1,0,1.6,F (C_StovePot U StovePot),go to stove pot
31,40,30,d5d65595969e4cba87ec12dd80882397,Turn,Veges,turn around,749680,752720,1,1,3.0,F (C_StovePot U StovePot),go to stove pot
32,40,31,bKJo216pSmvwd39nHbkUZhtVnw11eJGL,Mix,Veges,"pick up spoon, stir pot",756562,761090,1,1,4.5,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePot) & G ((C_Spatula & C_Veggies) U Veggies_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),Same as stir pan but stir pot with spatula
33,40,32,slpcZuFGj0j22kNQ9h2dO7Z0JVeWJQKP,On,Lid,put lid on pot,782533,785749,1,1,3.2,X (G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),
34,40,33,cTdAsAvAVDTuT19qroUATTQCRHNVay41,Off,Gas,turn off right burner,803995,807587,1,1,3.6,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_Off))),stove pot
35,40,34,tdUEHP6Z8TATRsvicJS7cy2JhUJpIeCe,Off,Lid,"turn around, take lid off pot",818458,823325,1,1,4.9,X ( G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT) ) ))),
36,40,35,wMmaqqqy163nRZOOydbENSRonlYPsBr4,Pour,Soup,serve soup into bowl,857352,860769,1,1,3.4,X (F (C_Bowl U Bowl) & G (C_Bowl U Bowl) & G (C_Bowl U Bowl_FarFrom_CT) & F (C_StovePot U StovePot) & G (C_Ladle U Ladle) & G (C_Ladle U Ladle_InsideOf_Holder & G (C_StovePot U StovePot) & G (C_StovePot U StovePot_FarFrom_Stove)  ) & G (C_Soup U Soup_InsideOf_Bowl) & G (C_Ladle U Ladle_InsideOf_Holder) &  F (C_CB U CB) & G (C_Bowl U Bowl_OnTopOf_CB)),go to bowl > pick up bowl > go to stove pot > pick up ladle > get soup from pot > pour into bowl > return ladle into holder > turn to cb > place bowl on CB (serve)
218,45,0,oTkFDxaxqTH9hcVOmNpUU7MANFzHxzhV,Off,Gas,turn on right burner,229469,232976,1,0,3.5,,
219,45,1,9BnmCpfzkMzxQtmCvbce0lKKJNUdbb64,On,Lid,put lid on pot,243455,247428,1,0,4,,
220,45,2,ueK8zeQuDPsbTS9GOUTB0ujGGJsNFRvU,Fetch,Onion,pick up onion,293150,296400,1,0,3.3,,
221,45,3,AXwhQRPzxRHyTphIe6dZ9T4JrYeMzqat,Fetch,Onion,pick up carrot,322792,325682,1,1,2.9,,
222,45,4,ABNaNXKRK1fia30P1UmUw74y6N5JrsnB,Cut,Onion,dice onion,338967,342293,1,0,3.3,,
223,45,5,UWFEhcSrBX0xtWmaf8kmxPRYutAUdzcC,Cut,Tomato,dice tomato,357136,360674,1,1,3.5,,
224,45,6,cYWFBbCSsKKHiZzHsRwXtgpRmfoFHmZi,Cut,Tomato,cut tomato,362414,365074,1,0,2.7,,
225,45,7,Gb1vQyUu0HE6LWeNfUjtg6jzitQgf3pz,Cut,Tomato,cut tomato,367459,372184,1,1,4.7,,
226,45,8,Q7EnJQQYJW0q7lSvvqLqmcSp8Ko0ahQc,Cut,Tomato,pick up tomato,375992,380211,1,1,4.2,,
227,45,9,rxpSEb8ccFRhc30z4qHjEB15yt6RZn6W,On,Gas,turn left burner on,409894,414355,1,1,4.5,,
228,45,10,BMg9BAMgPLwo4Gik0OtpHBovDuLfGch4,Add,Oil,put oil in pan,425440,429678,1,1,4.2,,
229,45,11,pmIIKjztJU6s3ThEuyGoSjLUEFGY4NyK,Add,Veges,put veggies in pan,473024,477895,1,1,4.9,,
230,45,12,ydR3OnbTKuxoMbr6WQ48L86rPV0gcNEW,Add,Salt,pick up salt,507823,511406,1,1,3.6,,
231,45,13,YnhKtKiGTvBBxe5l69euxMtWHkDAov74,Add,Pepper,pick up pepper,530863,534708,1,1,3.8,,
232,45,14,VFQ9LH6sZktr8S2ZOEsLjthbLnPQ6cVe,Mix,Veges,stir pan,550930,555464,1,1,4.5,,
233,45,15,DZ0jpdHEjTlr6gcMLxE4CIYpDwvk6d6G,Cut,Potato,dice potato,587203,590648,1,1,3.4,,
234,45,16,dUTLkDkMxoZTtZ2piCZHoAPU9Eb3YMvL,Cut,Potato,cut potato,591391,596288,1,1,4.9,,
235,45,17,SuYksafuT7H0O2HfD6Xpx56OTFUrsiwR,Cut,Carrot,cut carrot,615063,619508,1,1,4.4,,
236,45,18,MtcWiPJiuedTGW6jeko5eUhpb2cDWVzG,Cut,Celery,cut celery,638195,642590,1,1,4.4,,
237,45,19,jqzKXZqLvbFTAQod56ggaQ0UaJBVXAmb,Off,Lid,take lid off pot,667274,670936,1,1,3.7,,
238,45,20,7DXNoQHawuaGUgDtUSPUT5WO5YpBtDdt,Add,Veges,add veggies to pot,701427,705566,1,1,4.1,,
239,45,21,xfKAvYRtFSCN7mo9OoAmCBGqcgR9rITh,Off,Gas,turn off left burner,732402,735571,1,1,3.2,,
240,45,22,H1r2lFhygq1nhDZflzwP05Jojmh3tk5B,Add,Veges,add pan into pot,743233,749444,1,1,6.2,,
241,45,23,pqaZeFBZmGPZsyMamnHWTIdaH3iC4m2E,Add,Spices,pour spices into pot,779345,782201,1,1,2.9,,
242,45,24,L8eovIbWI42Nl0Jnd4i7LGWAYegopXGs,Mix,Veges,stir pot,798146,801505,1,1,3.4,,
243,45,25,ZvnS2sj0BTCv5YpCK7X8nig1zoCY1P5A,Mix,Veges,mix pot,803543,807713,1,1,4.2,,
244,45,26,DZfy7H2fcGqZVAxQv0HYsAfC8LiUP1VE,On,Lid,put lid on pot,827378,831165,1,1,3.8,,
245,45,27,RMfTYBEwkPkVh02QViFcXjPZjwsaIVwg,Off,Gas,turn off stove,851912,856049,1,1,4.1,,
246,45,28,SHNlHu7yN03QnVvTLfG1WUWAvcf7g7R1,Off,Lid,take lid off pot,868118,871708,1,1,3.6,,
247,45,29,89aQCKCJWCJCm4CQS9DEDZkPEF0z2z7e,Pour,Soup,scoop soup into bowl,885774,890712,1,1,4.9,,
248,49,0,edzgirEPyFmU7RiHVOXm5lT6XRRGiJug,On,Gas,turn on burner,205078,209251,1,1,4.2,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & G (StovePotKnob U Stove_On) ),full command to turn on stove pot
249,49,1,aV3x66KxklJ22yWSW8AmU6UPh2oL1lQu,Turn,Gas,go to oven,210003,213793,1,1,3.8,F (C_StovePot U StovePot),go to stove pot
250,49,2,udOI8snKec6taMoDXaqZ748G48hZF6ru,On,Gas,turn on burner,214677,219598,1,1,4.9,X ( G (C_StovePotKnob U StovePotKnob) & G (StovePotKnob U Stove_On) ),turn on stove pot 
251,49,3,NDJTzFceNu3uIiVcRdzVwfwDMqKvuIyd,On,Lid,put lid on pot,232474,235934,1,1,3.5,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),full command to put lid on pot
252,49,4,Y5S06yKligSN19NQyC6UARnPPJDw2IJu,Turn,Lid,go to oven,236660,239608,1,1,2.9,F (C_StovePot U StovePot) ,go to stove pot
253,49,5,SQUmRaH7PhxrddodSCnWSledrjBbfxXQ,on,lid,grab lid,239852,243510,1,1,3.7,G (C_Lid U Lid),just grab lid
254,49,6,WisuRMuORhPUvlwiMGMOqtpWUH8O6y0a,on,lid,"lift lid, put over pot",245005,250083,1,1,5.1,X ( G (C_Lid U Lid_FarFrom_CT) & G ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ),pick up lid and place on pot
255,49,7,TKjwi5xrV2OpCmbF8YDEMzdtTDbVm9cu,fetch,onion,put onion on board,257004,261209,1,1,4.2,X ( F (C_Veges U Veges) & G (C_Onion U Onion) & G (C_Onion U Onion_FarFrom_CT) & F (C_CB U CB) & G F (Onion_OnTopOf_CB & Onion_CloseTo_CB) ),full fetch onion to CB
256,49,8,i1qg9HAjOPEUTbzibLXNjNAXFlMhhoH6,Turn,onion,go to table,262257,265022,1,1,2.8,F (C_Veges U Veges),go to veges
257,49,9,CZ8MQAoPnP4G7MjDTo6kfnv0EvsmTYh3,fetch,onion,grab onion,269747,275575,1,1,5.8,X ( G (C_Onion U Onion) & G (C_Onion U Onion_FarFrom_CT) ),pick up onion
258,49,10,c8323865de43499ca8837a73a1ba7cd1,fetch,onion,"go to board, place onion on board",275640,281200,1,1,5.6,X ( F (C_CB U CB) & G F (Onion_OnTopOf_CB & Onion_CloseTo_CB) ),"turn to CB, place onion on CB"
259,49,11,R5UgYdNUZPtP9qnvQuOPTBhdCLtPZhxC,fetch,carrot,place carrot on board,288222,291609,1,1,3.4,X (F (C_Veges U Veges) & G (C_Carrot U Carrot) & G (C_Carrot U Carrot_FarFrom_CT) & F (C_CB U CB) & G F (Carrot_OnTopOf_CB & Carrot_CloseTo_CB)),full fetch carrot to CB
260,49,12,zDNIh29BnMnvQWzRYT8CYQ5Elpjm0y1O,fetch,carrot,grab carrot,294858,297648,1,1,2.8,X (F (C_Veges U Veges) & G (C_Carrot U Carrot)),go to carrot and grab carrot
261,49,13,9zDGy4pVO42AiZgz8N9hc9CRLm2jaEZW,fetch,carrot,lift up carrot,299022,302123,1,1,3.1,G (C_Carrot U Carrot_FarFrom_CT),lift carrot
262,49,14,4saIZgrFolztgPwgZflxTEObEIPY6dWh,Turn,board,go to board,303045,305302,1,1,2.3,F (C_CB U CB),go to cb and place carrot on ct
263,49,15,GM7Tszc460V9aMnelix6EC8wyltbimT0,cut,onion,chop onion,312839,315784,1,1,2.9,X ( X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Onion) & G (C_Onion U Onion_Pieces) ) ),full cut onion 
264,49,16,eyAWP01aScYZlvmGemZhSDidQgnfMvsJ,cut,onion,"grab knife, lift knife, bring over, chop onion",317411,327845,1,1,10.4,X ( X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Onion) & G (C_Onion U Onion_Pieces) ) ),pick up knife > bring close to onion > cut onion
265,49,17,sdvv7KaImkbjGVOP30cRkuS4HKVXI68R,cut,tomato,chop tomato,332637,335663,1,1,3.0,X ( X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & F (C_CB U CB) & G (C_Tomato U Tomato_OnTopOf_CB) & G (C_Knife U Knife_OnTopOf_Tomato) & G (C_Tomato U Tomato_Pieces) ) ),full cut tomato
266,49,18,p0dutPgvYkwl0ZTH7nA5diQjPuiW8vnw,cut,tomato,"take tomato, cut tomato",336695,342277,1,1,5.6,X ( X (F (C_Veges U Veges) & G (C_Tomato U Tomato)) & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Tomato) & G (C_Tomato U Tomato_Pieces) ) ),full cut tomato
267,49,19,UjWypwfOCHDsE5VwL1LhV4eSGug84bfQ,cut,tomato,grab tomato,342790,347606,1,1,4.8,X (F (C_Veges U Veges) & G (C_Tomato U Tomato)),grab tomato
268,49,20,J6Zy4VhUxbMfQwwJPZTMUtEMZz7dOOmX,add,tomato,"lift tomato, put tomato on board",347698,350021,1,1,2.3,X (F (C_Veges U Veges) & G (C_Tomato U Tomato) & G (C_Tomato U Tomato_FarFrom_CT) & F (C_CB U CB) &  G F (Tomatot_OnTopOf_CB & Tomato_CloseTo_CB)),life tomato and place on cb
269,49,21,S0i5nYD4TagGeOleDL22ZpnATlWfXbkJ,cut,tomato,"grab knife, lift knife, cut tomato",350094,357375,1,1,7.3,X ( X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Tomato) & G (C_Tomato U Tomato_Pieces) ) ),pick up knife > bring close to tomato > cut tomato
270,49,22,KwJFBRh0R9jY2Zt2BpbUB5iUo3AHdeuL,on,gas,turn on burner,366270,373030,1,1,6.8,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_On))),full turn on stove pan
271,49,23,5b4d38168cef4c40bec8463f47b9f008,on,gas,"go to oven, turn on oven",374840,379520,1,1,4.7,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_On))),full turn on stove pan
272,49,24,5qZVUxKvnAgTvtWW848CcqgQMyGnxSzM,add,oil,put oil in pot,390523,394265,1,1,3.7,X (F (C_StovePot U StovePot | G (C_Oil U Oil) & G (C_Oil U Oil_FarFrom_CT) ) & F G (Oil_CloseTo_Pot & Oil_insideof_Pot) & G F (Oil_LeftOf_Pot & Oil_OnTopOf_CT & Oil_CloseTo_CT)),full pour oil to stove
273,49,25,iJ1HNSCHOYG71F57gZGG5ggNm7TuWTHP,add,oil,"grab oil, lift oil",397604,402692,1,1,5.1,X ( F (C_Oil U Oil) & G (C_Oil U Oil) & G (C_Oil U Oil_FarFrom_CT) ),pick up oil
274,49,26,4f6bed9d56624647a644a9f57d65adfa,add,oil,pour oil in pot,402720,407280,1,1,4.6,X (F (C_StovePot U StovePot | G (C_Oil U Oil) & G (C_Oil U Oil_FarFrom_CT) ) & F G (Oil_CloseTo_Pot & Oil_insideof_Pot) & G F (Oil_LeftOf_Pot & Oil_OnTopOf_CT & Oil_CloseTo_CT)),pour oil into PAN
275,49,27,6JgMYXVbQsBF9lXAsqn6id3lBaPc7R6l,add,veges,put onion in pot,417763,421573,1,1,3.8,X (F (C_StovePot U StovePot | G (C_Veges U Onion) & G (C_Onion U Onion_FarFrom_CT) ) & F G (Onion_CloseTo_Pot & Onion_insideof_Pot)),full pour CB veges into PAN
276,49,28,pd1JOlkaMMqMY3eBoas7FxLjrBd5xo6O,add,veges,"grab board, go to oven",421862,428559,1,1,6.7,,"pick up CB, go to stove PAN"
277,49,29,y8OJNgbzlgB0mx4o72qoqARLWye2LT3b,add,veges,grab onion,430847,439156,1,1,8.3,X (F (C_Veges U Veges) & G (C_Onion U Onion)),pick up CB
278,49,30,TZQWptzzLZIv899GD4O7NvslnS74meFK,add,veges,"grab onion, pour",440637,445143,1,1,4.5,X (F (C_Veges U Veges) & G (C_Onion U Onion) & ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & F (C_CB U CB) & G (C_Onion U Onion_OnTopOf_CB) & G (C_Knife U Knife_OnTopOf_Onion) & G (C_Onion U Onion_Pieces) ) ),"pick up cb, go to stove PAN, pour into PAN"
279,49,31,fWFgblTKUKE7m0d9h9acFXg7oGOVve2q,add,salt,add salt,459922,463163,1,1,3.2,X ( ( G (C_Salt U Salt) & G (C_Salt U Salt_FarFrom_CT) ) & F G (Salt_insideof_Pan) & G F (Salt_LeftOf_Pan & Salt_OnTopOf_CT & Salt_CloseTo_CT)),full add salt into PAN
280,49,32,zqjHRawb8DIg7Hbg8Gtya8NRkYGIISpE,add,salt,grab salt,466899,472417,1,1,5.5,X ( ( G (C_Salt U Salt))),"got to stove pan, grab salt"
281,49,33,qn8Bgdn6TzWYjUnvClshPqMMikw1eKmG,add,salt,shake salt,473107,480302,1,1,7.2,X (G (C_Salt U Salt_FarFrom_CT) & G (C_Salt U Salt_Mixed)),
282,49,34,aWDYtvc7vN2LTRsViDKLIefWSTBnd8wc,add,pepper,add pepper to pot,487478,490710,1,1,3.2,X (F (C_StovePan U StovePan | G (C_Oil U Pepper) & G (C_Pepper U Pepper_FarFrom_CT) ) & F G (Pepper_insideof_Pan) & G F (Pepper_LeftOf_Pan & Pepper_OnTopOf_CT & Pepper_CloseTo_CT)),
283,49,35,oQ2kBSQI8l6x03sbIaSkl12E9M994jVI,add,pepper,lift pepper,492712,497231,1,1,4.5,X (F (C_StovePan U StovePan | G (C_Oil U Pepper) & G (C_Pepper U Pepper_FarFrom_CT) )),
284,49,36,79464a73cca6475c83554c064cd5687a,add,pepper,add pepper to soup,499000,507520,1,1,8.5,X (F G (Pepper_insideof_Pan) & G F (Pepper_LeftOf_Pan & Pepper_OnTopOf_CT & Pepper_CloseTo_CT)),
285,49,37,ZGHxhdoRdfCraNzM8tjhCVtKfkfnBsxD,mix,veges,stir soup,512359,515284,1,1,2.9,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Soup) U Soup_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
286,49,38,vYJNFlsihakoV58EzQ4aI4Xhn5jy8hfA,mix,veges,take spoon,517118,522671,1,1,5.6,X (G (C_Holder U Holder) & G (C_Spoon U Spoon_FarFrom_Holder)),
287,49,39,a6f5706f0b604192979b124f6806f745,mix,veges,lift spoon,523560,525000,1,1,1.4,X (G (C_Holder U Holder) & G (C_Spoon U Spoon_FarFrom_Holder)),
288,49,40,cf9568490f7c46719cab302e8b6fee52,mix,veges,bring spoon to pot,525200,529960,1,1,4.8,G F (Spoon_CloseTo_StovePot),
289,49,41,da7dcd0964c649b8add7990a7aff8203,mix,veges,stir pot,532200,539760,1,1,7.6,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Veggies) U Veggies_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
290,49,42,Aahx0qAONnAgbnNYmto2EEg50zwHGrFa,cut,potato,chop potato,547590,550583,1,1,3.0,X ( G (C_Potato U Potato_FarFrom_CT) & G F (Potato_OnTopOf_CB & Potato_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Potato) & G (C_Potato U Potato_Pieces) ) ),
